0,0.00,0.00,1000.00
1,0.00,0.00,1000.00
2,0.00,0.00,1000.00
3,0.00,0.00,1000.00
4,0.00,0.00,1000.00
5,0.00,0.00,1000.00
6,0.00,0.00,1000.00
7,0.00,0.00,1000.00
8,0.00,0.00,1000.00
9,0.00,0.00,1000.00
10,0.00,0.00,1000.00
11,0.03,0.00,1000.03
12,0.08,0.00,1000.11
13,0.15,0.00,1000.27
14,0.25,0.00,1000.52
15,0.38,0.00,1000.90
16,0.53,0.00,1001.43
17,0.70,0.00,1002.13
18,0.90,0.00,1003.04
19,1.13,0.00,1004.17
20,1.38,0.00,1005.55
21,1.65,0.00,1007.20
22,1.95,0.00,1009.16
23,2.28,0.00,1011.44
24,2.63,0.00,1014.07
25,3.01,0.00,1017.07
26,3.41,0.00,1020.48
27,3.83,0.00,1024.31
28,4.28,0.00,1028.59
29,4.76,0.00,1033.34
30,5.25,0.00,1038.60
31,5.75,0.00,1044.35
32,6.25,0.00,1050.60
33,6.75,0.00,1057.35
34,7.25,0.00,1064.60
35,7.75,0.00,1072.35
36,8.25,0.00,1080.60
37,8.75,0.00,1089.35
38,9.25,0.00,1098.60
39,9.75,0.00,1108.36
40,10.25,0.00,1118.61
41,10.75,0.00,1129.36
42,11.25,0.00,1140.61
43,11.75,0.00,1152.36
44,12.25,0.00,1164.61
45,12.75,0.00,1177.36
46,13.25,0.00,1190.61
47,13.75,0.00,1204.37
48,14.25,0.00,1218.62
49,14.75,0.00,1233.37
50,15.25,0.00,1248.62
51,15.72,0.00,1264.34
52,16.17,0.00,1280.51
53,16.60,0.00,1297.11
54,17.00,0.00,1314.10
55,17.37,0.00,1331.48
56,17.72,0.00,1349.20
57,18.05,0.00,1367.24
58,18.35,0.00,1385.59
59,18.62,0.00,1404.21
60,18.87,0.00,1423.08
61,19.10,0.00,1442.18
62,19.30,0.00,1461.48
63,19.47,0.00,1480.95
64,19.62,0.00,1500.57
65,19.75,0.00,1520.31
66,19.85,0.00,1540.16
67,19.92,0.00,1560.08
68,19.97,0.00,1580.05
69,20.00,0.00,1600.05
70,20.00,0.00,1620.05
71,20.00,0.00,1640.05
72,20.00,0.00,1660.05
73,20.00,0.00,1680.05
74,20.00,0.00,1700.05
75,20.00,0.00,1720.05
76,20.00,0.00,1740.05
77,20.00,0.00,1760.05
78,20.00,0.00,1780.05
79,20.00,0.00,1800.05
80,20.00,0.00,1820.05
81,20.00,0.00,1840.05
82,20.00,0.00,1860.05
83,20.00,0.00,1880.05
84,20.00,0.00,1900.05
85,20.00,0.00,1920.05
86,20.00,0.00,1940.05
87,20.00,0.00,1960.05
88,20.00,0.00,1980.05
89,20.00,0.00,2000.05
90,20.00,0.00,2020.05
91,20.00,0.00,2040.05
92,20.00,0.00,2060.05
93,20.00,0.00,2080.05
94,20.00,0.00,2100.05
95,20.00,0.00,2120.05
96,20.00,0.00,2140.05
97,20.00,0.00,2160.05
98,20.00,0.00,2180.05
99,20.00,0.00,2200.05
100,20.00,0.00,2220.05
